start,end,weight
1154,1947,5
1749,1900,8
800,1517,2
1953,1958,7
1405,1756,2
1729,1811,7
827,1006,9
1842,1955,1
821,1944,3
1241,1419,7
1056,1336,8
1159,1816,1
846,1149,8
1120,1454,3
1122,1337,2
1302,1657,7
902,1642,9
1151,1707,6
1017,1049,1
1000,1329,6
1415,1936,1
1306,1857,1
1522,1640,1
1944,1946,9
1042,1847,1
1427,1430,7
1055,1718,4
835,1740,6
1059,1809,7
951,1117,4
1041,1417,1
914,1151,7
1505,1600,5
1525,1722,4
1956,1957,3
1232,1837,7
1652,1954,9
1728,1943,1
1805,2000,4
1759,1841,1
1543,1703,9
1808,1916,5
1916,1952,6
1140,1948,1
1539,1916,6
1056,1831,2
1245,1526,7
1226,1736,2
1139,1933,9
820,1140,6
1455,1726,7
1424,1858,2
1556,1953,4
933,1928,1
958,1207,8
855,1250,2
1957,1957,2
1733,1935,7
1444,1941,8
1018,1112,5
1650,1736,2
1711,1810,5
1009,1415,6
851,1731,9
1821,1930,5
915,1322,2
1711,1932,8
925,1512,9
1657,1914,9
935,1400,8
1227,1517,7
1722,1756,9
1102,1147,9
1517,1928,9
1130,1241,4
1145,1742,3
1851,1902,2
1650,1727,7
1839,1935,3
913,1625,9
1849,1958,8
922,1451,4
1551,1633,6
1937,1945,9
1345,1400,5
833,844,8
827,1947,3
1947,1947,1
831,956,4
1330,1454,3
1852,1902,9
924,1238,7
1612,1938,2
940,1709,8
1711,1956,8
1420,1449,9
1845,1848,5
1033,1634,4
1320,1634,1
1928,1935,8
1636,1921,8
1256,1921,8
1259,1512,1
1043,1210,2
1718,1755,2
1814,1939,4
1750,1952,1
1254,1705,5
1654,1713,7
1034,1333,5
1255,1711,8
1836,1841,1
1321,1635,8
1600,1610,6
1639,1830,3
1558,1604,7
845,1858,4
850,852,9
1917,1933,9
1211,1524,2
1353,1918,5
1349,1434,8
1410,1834,6
1241,1712,6
1033,1727,1
1426,1914,4
1005,1406,3
1502,1618,3
1235,1656,7
1153,1437,5
1418,1956,4
850,1504,2
1317,1444,4
1750,1926,1
842,1807,8
840,1920,7
1601,1614,1
1456,1642,6
1206,1536,9
1816,1934,4
1731,1928,2
1832,1917,2
817,1856,8
1851,1958,8
1109,1317,3
906,1008,2
1234,1924,5
848,1053,7
1441,1650,8
1701,1732,8
1729,1944,1
805,1232,8
1840,1913,9
1859,1910,1
1720,1921,5
1630,1733,2
1648,1737,8
1427,1603,5
1701,1946,6
905,1554,3
1234,1438,4
1038,1145,1
1024,1713,4
1833,1959,3
1302,1913,1
1054,1948,5
1745,1903,5
1457,1729,1
1042,1103,5
1208,1938,7
1509,1615,5
1417,1847,5
1521,1710,1
946,1503,9
1217,1259,5
1553,1936,3
841,1520,1
1258,1821,5
1439,1559,3
1403,1714,8
1257,1318,7
1111,1803,8
1154,1803,3
1931,1942,9
1348,1826,9
1939,1944,8
1300,1438,1
823,1947,1
926,1727,7
1426,1703,8
1501,1724,4
1257,1719,8
1749,1958,3
823,1214,7
951,1608,9
1207,1651,1
1954,1958,1
1651,1736,1
1242,1531,5
1017,1813,4
1824,1953,5
903,1451,1
838,1334,4
1943,1944,1
1258,1500,4
1129,1510,4
1133,1949,4
1403,1542,7
