start,end,weight
1501,1852,4
1157,1541,8
1054,1716,9
834,930,7
1747,1848,3
1044,1244,7
1746,1913,7
1439,1957,2
1119,1422,8
900,1523,1
801,1513,3
1355,1416,3
1446,1936,7
1437,1958,2
956,1539,6
1713,1926,6
1219,1438,8
1925,1947,3
1009,1351,3
1446,1654,5
1754,1950,5
1230,1306,3
945,1012,4
834,1128,5
833,1743,7
1743,1919,6
1623,1806,1
834,1338,3
859,1600,2
1027,1437,1
1110,1248,2
1411,1512,1
1953,2000,5
1322,1425,8
1816,1904,8
1604,1835,8
1103,1800,9
828,1413,6
1655,1845,3
1402,1601,3
922,1359,7
1935,2000,7
1136,1354,1
1102,1405,9
833,1700,3
847,1340,7
1142,1222,3
1941,1942,4
1546,1743,5
1052,1341,7
1026,2000,6
1557,1701,5
1832,1948,3
1340,1759,9
1740,1829,3
1449,1858,2
1300,1424,1
1713,1854,3
833,957,5
1617,1935,2
1441,1842,9
1923,1956,8
1541,1730,1
1634,1949,2
1648,1702,2
1000,1146,2
905,1236,9
833,1941,8
1358,1526,6
1943,1947,4
1132,1603,1
1147,1453,2
1048,1319,1
1135,1533,7
1625,1750,7
845,1321,7
1253,1940,6
1656,1703,6
1447,1650,4
1844,1907,6
1230,1452,6
1723,1959,1
1448,1929,1
1216,1545,2
835,1320,2
952,1245,8
1508,1601,8
1445,1752,2
1332,1855,3
1318,1424,6
1558,1827,1
1213,1353,4
1914,1951,8
1744,1944,4
857,1112,1
1003,1507,5
1926,1950,1
919,1553,4
1827,1831,5
1319,1721,7
1925,1949,9
914,1005,9
1032,1749,9
1917,1958,4
1904,1927,1
1229,1459,4
924,1925,2
845,1316,7
1123,1944,4
1556,1937,8
833,1123,5
1832,1956,1
1504,1858,2
833,1411,8
810,1140,1
1329,1700,4
1052,1455,4
1541,1716,1
1240,1603,5
1923,1940,5
1333,1656,2
809,1310,9
1710,1841,6
928,1055,5
1759,1914,5
832,1526,1
1327,1952,3
1442,1642,8
1100,1410,7
1929,1954,1
1616,1850,5
912,1110,7
918,1741,3
1640,1806,3
956,1300,4
1355,1903,5
1055,1840,6
1102,1221,1
1455,2000,1
1258,1409,5
1029,1242,9
1821,1839,5
1356,1602,9
1719,1824,3
912,1837,5
1533,1822,5
1609,1748,5
928,1749,8
1454,1805,8
1935,1950,1
1045,1328,7
1925,1941,7
1412,1838,5
1652,1752,3
1526,1907,1
814,1645,1
1759,1910,9
1141,1341,9
1918,1936,7
848,1734,7
1125,1444,9
1603,1813,7
1143,1503,6
1850,1904,7
1400,1924,9
1750,1836,4
1438,1810,3
1654,1837,1
1431,2000,8
1650,1656,7
1715,1720,9
1612,1842,2
1418,1751,3
1343,1545,2
852,917,9
850,1200,3
1026,1842,8
1413,1419,4
1830,1855,6
1948,1954,3
1914,1915,6
1247,1647,8
805,1838,4
1039,1115,9
1200,1938,2
1147,1538,7
929,1400,5
1025,1219,9
1141,1832,7
1603,1716,3
1540,1710,9
1630,1855,8
1153,1649,6
1059,1326,8
1941,1954,4
1635,1914,8
1245,1737,9
1335,1548,6
1041,1911,6
1506,1610,4
1825,1856,3
1212,1534,6
1747,1957,6
1139,1251,8
1316,1331,7
1935,1950,6
1058,1945,1
927,1958,5
1353,1906,4
1634,1700,3
1845,1938,8
917,1750,4
826,1829,5
1638,1950,7
831,1845,2
1707,1930,2
903,1332,6
819,1858,6
1132,1330,6
1443,1613,8
