start,end,weight
1026,1455,6
1700,1753,8
1256,1456,9
854,1937,5
1459,1859,8
1303,1336,3
1444,1854,2
958,1207,6
1201,1704,3
1656,1916,5
1826,1839,6
1139,1741,6
1817,1937,3
1805,1908,3
1826,1915,4
1703,1919,3
1613,1824,8
1831,1948,8
1627,1947,9
1101,1542,3
1121,1945,2
1008,1525,6
1950,2000,4
1948,2000,4
1136,1518,6
1557,1951,2
1344,1448,7
1127,1742,3
1505,1708,3
1558,1623,8
816,1935,8
1849,1954,7
1937,1955,7
1533,1710,4
1127,1717,8
1507,1545,7
1118,1127,9
1705,1830,3
1024,1522,9
1629,1648,4
1749,1924,1
1154,1453,9
1135,1157,1
1546,1741,5
1013,1215,3
1646,1845,6
948,1614,4
1918,1930,7
1259,1539,6
1901,1951,2
1618,1947,4
1645,1752,9
1645,1744,4
1741,1941,6
1256,1356,9
1140,1446,2
1158,1300,3
1013,1326,1
1937,1945,8
1457,1622,1
1737,1942,6
1644,1741,9
1533,1558,9
913,1127,7
1246,1656,1
1002,1103,3
934,1022,6
1149,1609,8
1207,1738,9
1140,1332,1
925,1047,7
1040,1819,8
1821,1920,3
1901,1917,5
1221,1514,9
1057,1914,6
1851,1945,9
1923,1949,9
1431,1604,4
1910,1929,5
1033,1913,8
1100,1427,7
1620,1811,6
1451,1643,3
1539,2000,6
1715,1818,7
930,1318,4
837,1556,7
1511,1918,2
945,1210,5
1848,1914,6
1949,1956,4
1704,1848,2
1727,1951,6
1216,1945,7
1149,1331,1
1735,1824,4
1518,1732,1
1922,1944,9
1917,1936,5
1958,2000,2
1034,1808,1
1210,1733,9
1811,1857,3
1224,1705,3
1925,1931,5
1504,1827,2
936,1420,6
1736,1948,1
1607,1940,2
1952,1953,6
827,1714,9
1046,1809,4
1637,1920,7
1031,1241,9
1318,1850,6
1356,1901,8
901,1902,2
1234,1634,6
1032,1222,5
1350,1957,5
1352,1704,2
1202,1314,8
1953,1958,1
1031,1653,5
1641,1943,1
1940,1956,9
1646,1819,8
1903,1935,8
1013,1118,9
1025,1520,1
900,1126,3
1137,1553,8
957,1413,4
822,1942,4
1216,1732,1
848,1858,3
1708,1907,9
1200,1244,3
1152,1335,5
950,1227,1
1926,1947,8
1504,1947,9
803,1804,3
1433,1636,7
1910,2000,8
1220,1637,4
1819,1849,5
1505,1759,2
1749,1903,1
1421,1942,6
1957,1959,9
1601,1601,8
922,1714,6
1049,1852,6
1641,1811,5
1136,1959,8
1747,1946,6
1228,1838,4
1345,1940,6
1629,1723,1
1521,1737,2
1003,1420,7
1815,1832,5
1707,1850,5
1248,1826,2
804,1002,3
1732,1752,9
817,940,4
1913,1923,1
1757,1800,5
849,1158,8
1931,1954,6
924,952,2
1535,1908,8
1908,1923,1
1425,1745,9
1821,1821,5
1016,1020,2
1342,1430,3
813,1828,5
1846,1911,8
1109,1356,9
946,1247,3
1403,1511,4
1733,1902,7
1407,1539,1
826,1038,1
1800,2000,6
1632,1650,7
1141,1432,7
1016,1942,2
1906,1921,7
1211,1636,6
1703,1737,5
1715,1841,4
1326,1911,8
1904,1935,7
1735,1922,3
1609,1846,4
1436,1618,5
855,1138,2
1155,1902,4
1402,1857,8
1651,1904,4
1934,1946,5
801,859,5
856,901,7
819,1305,1
1920,1945,3
1648,1739,5
1407,1520,2
1311,1954,7
937,1524,5
856,1643,3
1509,1812,6
1042,1419,3
1126,1650,9
1614,1625,8
954,1947,2
944,1653,4
1327,1351,3
1736,1811,8
1813,1919,7
1942,1943,1
1453,1751,4
940,1538,8
1016,1754,9
833,1009,7
1911,1920,7
1953,2000,9
1242,1242,5
957,1225,6
1808,1946,7
1514,1913,9
1507,1723,5
1017,1449,4
1812,1943,8
1324,1557,3
1623,1808,6
1624,1645,5
1758,1817,1
1020,1526,5
1544,1701,3
1049,1250,1
1927,1942,9
1942,1946,6
1354,1833,6
1654,1700,4
1631,1814,2
938,1148,9
1800,1934,3
1012,1821,2
