start,end,weight
1441,1941,6
1017,1654,1
1612,1902,6
1314,1751,7
1809,1835,2
1621,1830,7
953,1150,2
1015,1309,6
906,1837,5
1325,2000,1
806,1141,2
1401,1923,2
805,1253,5
1403,1532,5
1659,1944,2
1412,1601,8
1400,1842,4
1031,1122,6
1818,1947,9
1534,1834,7
911,1812,9
1427,1650,7
1007,1017,2
1035,1204,8
816,1154,2
1040,1637,4
1959,1959,7
1516,1753,4
1439,1544,7
1925,1946,9
938,1233,1
934,1217,8
1254,1648,7
1657,1859,7
1459,1756,3
1955,2000,4
1601,1705,5
923,1730,4
1642,1708,5
1327,1905,9
946,1853,2
1645,1813,8
1547,1715,2
1540,1923,1
1506,1638,7
1925,1928,2
1710,1949,5
1601,1722,1
1824,1929,2
1441,1713,3
1626,1815,4
918,1204,1
859,1826,6
1623,1948,4
1620,1832,9
1215,1328,4
818,1802,8
1428,1618,3
1437,1443,2
1553,1841,3
1311,1507,4
1654,1850,3
1445,1921,6
950,1004,9
1711,1757,9
1422,1843,4
843,1953,3
946,1714,9
1313,1610,3
1928,1933,7
1756,1920,5
1924,1925,5
1140,1744,6
1050,1834,7
1236,1250,1
1842,1952,4
1348,1849,6
1527,1921,6
1103,1746,9
1023,1147,3
1027,1920,7
1717,1742,3
1352,1856,4
1727,1949,3
919,1121,7
1911,1950,1
1842,1931,2
1350,1822,1
1836,1909,1
1400,1716,2
1921,1930,1
1113,1259,4
1029,1222,7
1708,1937,3
907,1401,7
1901,1957,1
1347,1816,4
1717,1859,1
1729,1847,6
1031,1444,4
1759,1827,7
1026,1321,2
1024,1038,4
1558,1705,5
1854,1905,6
1215,1216,7
1457,1901,9
1843,1850,1
927,1317,5
1101,1228,8
1914,1934,1
1704,1730,7
1313,1626,5
1134,1350,5
1500,1656,5
1817,1847,1
803,1112,2
1950,1955,1
1200,1938,2
1037,1144,4
1924,1951,9
1950,1957,6
934,1830,6
1451,1803,8
1215,1333,2
1739,1851,8
1929,1945,2
1502,1610,2
1708,1906,8
1650,1715,1
1129,1345,6
1553,1934,5
813,1948,9
1839,1917,8
1656,1715,4
1956,1956,9
1039,1656,5
1755,1953,6
922,1906,9
1922,1941,9
1817,1827,8
1943,1953,9
1003,1723,9
1644,1905,2
1728,1926,6
1707,1952,9
1021,1130,9
1944,1949,7
1513,1903,2
854,1332,4
1435,1632,3
1621,1910,7
1829,1915,6
1851,1917,1
1640,1958,2
1735,1810,8
827,1845,6
1425,1658,7
803,1034,9
1107,1252,7
1428,1630,1
1542,1704,2
1909,1913,6
838,1623,9
840,1624,6
1704,1718,5
1849,1944,6
1954,1957,8
1517,1922,3
857,1025,2
1257,1650,4
1851,1858,7
1148,1655,1
1624,1632,6
1517,1720,6
821,1349,2
951,1353,1
1311,1455,9
828,1654,5
1653,1732,8
1625,1902,3
1755,1951,7
958,1345,2
1159,1735,8
1139,1919,7
1231,1554,9
1125,1521,5
859,1551,9
1857,1905,6
1204,1627,4
1927,1942,1
1121,1612,7
1051,1900,4
858,1918,2
1639,1951,7
826,1655,2
1604,1919,2
1235,1704,7
1415,1631,4
926,1954,2
1018,1411,8
1041,1958,2
922,1801,9
1002,1614,3
951,1029,9
1206,1644,5
1625,1847,6
1930,1956,8
1502,1944,2
1732,1947,6
927,1357,1
931,938,2
939,1512,1
812,1504,1
1134,1822,4
946,1957,6
1221,1348,3
1431,1745,8
1650,1914,1
1422,1718,8
1552,1927,4
1647,1934,3
1953,1959,4
1226,1920,3
1833,1912,5
1928,1950,2
819,946,6
1753,1950,4
1739,1939,9
1101,1708,5
1604,1635,2
805,1841,8
1856,1955,5
1312,1850,5
1549,1801,8
1825,1908,4
1341,1738,2
921,1622,9
1202,1548,9
813,1217,3
1827,1848,4
1544,1901,7
1440,1739,5
1500,1709,8
1010,1414,6
1822,1928,6
1618,1805,2
1236,1449,6
1645,1818,4
1104,1337,9
1217,1905,5
1425,1518,2
831,1658,7
1726,1838,1
1028,1545,2
1736,1744,8
1829,1856,4
1055,1906,9
1553,1907,6
1638,1836,8
1830,1929,8
901,1715,7
1723,1759,5
1351,1625,7
1903,1940,8
1348,1829,2
1313,1453,1
1024,1618,1
1126,1357,6
1411,1439,4
1200,1359,2
1705,1839,2
1652,1837,8
903,1027,7
1258,1803,1
1743,1933,2
1206,1604,2
1320,1922,5
858,1828,1
1614,1633,2
1656,1856,2
1931,1957,9
906,1304,4
1939,1951,2
1235,1823,2
1154,1238,8
1807,1841,8
1027,1115,6
1741,1955,6
916,1440,2
1011,1833,9
901,1520,1
1027,1517,5
1533,1808,9
1123,1900,8
920,1613,4
1323,1623,7
1018,1510,7
1226,1904,6
1908,1918,8
1414,1415,8
1832,1842,9
848,906,7
1800,1844,6
1841,1956,6
1437,1852,8
1123,1244,8
1002,1316,3
1439,1703,8
1813,1900,5
1909,1921,1
1446,1804,5
1931,2000,2
848,928,8
905,1336,5
1647,1733,6
1507,1951,6
1522,1743,6
1329,1603,7
807,1511,6
833,1620,1
1942,1948,9
1502,1508,7
1834,1917,3
1449,1840,7
1644,1708,5
1214,1555,4
1830,1855,2
1749,1817,1
1238,1643,9
1704,1930,3
1923,1937,5
1635,1649,1
940,1501,4
1411,1624,9
1217,1325,5
1035,1938,3
1002,1953,2
1803,1959,9
933,1838,3
901,1904,5
1237,1730,2
911,1454,7
1140,1724,5
1710,1936,8
1737,1804,2
1733,1736,2
1046,1128,7
1852,1901,3
1923,1950,2
1021,1232,2
1842,2000,4
942,1844,3
1832,1901,8
1705,1935,4
942,1239,1
900,903,3
1130,1130,7
1119,1835,4
1325,1502,9
1049,1749,1
1320,1858,4
1152,1757,3
1814,1951,8
1115,1256,7
1039,1556,3
930,1107,1
1841,1916,1
1729,1937,6
1700,1924,1
1755,1904,2
1653,1922,9
1805,1832,1
1213,1310,5
1213,1908,4
1728,1919,4
1250,1437,8
1225,1742,6
819,1710,6
1156,1727,4
1137,1234,4
1926,1943,9
1818,1953,1
1927,2000,3
1401,1650,1
1532,1622,4
1330,1414,3
1727,1920,4
949,1340,4
1606,1616,4
1730,1942,4
1721,1933,6
1857,1949,7
1820,1937,3
1054,1131,3
1109,1913,3
1352,1356,8
1857,1938,7
1136,1323,8
1458,1529,7
1530,1717,3
1011,1712,7
1022,1940,5
1518,1847,2
1953,1959,7
