start,end,weight
1514,1732,8
933,1255,9
933,1728,1
1931,1933,7
915,1046,5
1641,1805,5
1924,1944,4
1948,1949,3
1300,1837,6
1447,1645,4
1040,1220,9
1244,1559,5
1139,1710,9
1454,1604,5
935,1339,3
811,1401,7
1411,1948,2
1612,1822,2
1100,1755,9
1108,1924,1
1327,1837,3
1708,1905,7
1741,1928,2
929,2000,6
1155,1243,7
1339,1708,9
1106,1245,5
1229,1729,8
1613,1738,8
1625,1740,7
1755,1913,1
1009,1611,1
1434,1453,2
1844,1915,6
1623,1745,4
1003,1445,9
1046,1145,3
1704,1956,1
1416,1939,7
1738,1927,9
1625,1720,1
1834,1945,5
1421,1555,6
1438,1810,1
1254,1439,3
930,1355,2
1526,1957,2
844,1240,3
1514,1824,5
1731,1836,4
1252,1717,2
1219,1817,3
1211,1511,8
1735,1954,9
1346,1843,8
1647,1702,7
1857,1957,3
1002,1215,5
1143,1515,3
829,1818,1
1657,1830,9
1641,1704,6
1210,1833,1
1209,1840,2
1207,1811,1
1231,1720,2
1947,1950,4
1101,1309,8
1830,1835,3
1519,1528,1
1657,1658,4
1821,1831,6
1810,1902,6
1317,1812,4
1409,1627,2
1505,1712,3
1641,1724,6
1049,1240,7
1859,1949,1
1150,1521,7
924,1037,5
1741,2000,6
1917,1919,8
855,1938,5
1258,1400,4
1306,1957,9
1838,1951,6
1837,1844,2
1612,1933,7
1607,1914,3
1713,1850,4
841,1156,7
1750,1839,3
1113,1918,4
1517,1553,9
1207,1540,3
1603,1838,5
958,1533,1
821,1712,1
1157,1825,6
1100,1303,3
1248,1433,3
922,923,4
1528,1817,9
1145,1806,7
1736,1901,7
1603,1913,6
1844,1941,6
1240,1726,1
1533,1842,8
1339,1919,9
1652,1816,9
1647,1730,2
1401,1912,6
1647,1934,2
1107,1446,4
1902,1930,7
1540,1645,2
944,1429,2
1744,1749,1
1034,1137,5
1139,1619,8
1029,1943,8
1650,1923,7
1506,1549,9
1047,1602,1
1015,1157,6
1507,1758,3
1408,1442,4
957,1706,2
1055,1137,2
846,1834,7
1901,1921,9
1437,1842,9
1318,1342,2
1915,1934,6
1033,1528,3
1248,1822,1
1113,1253,5
1210,1434,9
1544,1851,9
1857,1940,4
944,1325,8
1859,1904,7
1055,1301,6
829,930,5
824,1705,7
1044,1054,5
1624,1734,9
1850,1928,3
834,1615,3
1603,1910,9
1440,1547,7
1007,1740,5
1455,1805,6
953,1815,2
1258,1656,6
1637,1921,4
1817,1853,7
1603,1737,5
933,1928,5
1532,1936,5
1204,1501,8
1047,1323,8
1342,1455,1
1708,1938,9
956,1405,5
1348,1425,4
1112,1448,7
1842,1849,8
820,1427,5
1339,1416,2
1440,1656,9
1004,1227,3
1532,1737,7
1118,1452,1
1244,1558,6
1712,1931,4
818,1151,4
1915,1939,9
1831,1948,1
1046,1341,2
1759,1802,6
1445,1754,2
1320,1711,5
1844,1853,8
803,1609,6
1523,1601,3
1355,1624,6
1743,1838,5
924,1738,1
1249,1823,9
1729,1909,5
1657,1939,5
1255,1325,7
1840,1921,7
1045,1808,8
1227,1256,4
835,1403,9
1400,1525,2
1817,1901,2
902,1235,4
909,1000,2
1800,1855,5
1321,1358,1
1952,1959,2
1013,1546,5
1936,1950,3
1024,1953,4
1138,1742,8
1515,1732,9
1807,1909,7
1912,1938,4
1348,1516,8
1305,1848,9
810,1206,3
1240,1930,4
1936,1951,3
1142,1545,7
1322,1756,9
1156,1959,6
1448,1904,9
1201,1725,1
1601,1640,5
803,1412,6
1008,1621,7
1002,1109,5
1634,1711,8
1701,1955,3
1956,1956,6
1843,1955,7
924,935,2
1327,1721,4
1038,1543,9
915,1822,2
1534,1933,4
1933,1952,4
1315,1648,1
1221,1858,5
1958,2000,4
951,1147,1
1819,1920,3
1629,1651,4
1155,1428,5
1306,1959,7
1727,1821,7
1404,1500,8
1718,1816,9
1244,1924,1
1612,1644,8
828,1907,8
801,840,5
1935,1940,9
1725,1812,2
1041,1540,6
823,1434,8
939,1650,8
1233,1941,8
1803,1901,9
1929,1953,4
1250,1418,9
1941,1942,1
1210,1610,6
1044,1338,1
1404,1639,4
813,1637,2
1741,1904,2
1322,1846,4
1628,1931,5
955,1727,5
1407,1735,1
1706,1900,4
1654,1937,6
1538,1948,9
1747,1804,5
1150,1702,3
1247,1336,4
1000,1533,4
1719,1754,8
1302,1411,2
947,1228,3
1038,1842,6
1329,1344,7
1341,1852,1
1806,1821,7
1134,1839,6
909,1521,8
1149,1659,3
1529,1655,1
1813,1944,1
1319,1550,7
1654,1744,9
1128,1525,4
1534,1933,3
1226,1636,5
1032,1641,1
1502,1602,6
1227,1956,1
1705,1724,2
1432,1626,9
1621,1649,8
950,1311,4
1236,1902,6
1356,1607,4
1237,1707,9
831,1659,9
1119,1154,6
944,1018,6
1253,1722,1
1537,1902,4
1401,1808,6
841,1411,5
1214,1858,9
1400,1722,4
1207,1806,2
1014,1545,7
1018,1638,6
939,1057,3
1641,1837,2
922,1609,2
1420,1425,6
1003,1934,8
1159,1819,6
1533,1818,1
1225,1244,8
804,1620,9
1244,1451,8
1147,1245,8
1135,1152,1
1122,1832,8
1737,1805,3
1636,1914,1
1005,1601,3
1837,1919,9
1705,1729,1
1102,1924,5
1642,1917,3
1340,1806,4
1537,1834,9
1749,1956,8
819,1327,8
1345,1509,5
1436,1502,9
1604,1729,7
826,1347,5
1720,1733,9
957,1611,7
1016,1914,4
1114,1522,1
