start,end,weight
1234,1716,5
1001,1256,1
1149,1212,3
1706,1806,5
1258,1318,6
1854,1912,5
1244,1352,1
1236,1920,7
852,1949,3
1214,1915,8
1135,1608,7
958,959,2
1904,1926,4
1847,1934,5
1332,1414,9
1722,1829,5
1016,1714,8
1826,1903,5
1332,1401,9
1840,1841,4
1404,1556,9
1246,1416,6
1222,1230,8
1710,1958,1
1757,1810,8
1944,1956,6
1909,1925,6
1841,1958,7
1724,1816,2
1532,1724,1
1332,1549,2
1128,1812,7
1039,1815,2
1157,1810,1
1524,1832,9
1031,1841,9
935,1802,9
1105,1855,1
1109,1409,3
1113,1935,1
1104,1552,6
821,1338,4
1046,1347,2
1443,1954,4
1112,1223,3
1026,1139,7
1516,1721,4
1545,1911,1
942,1841,2
1020,1032,9
1817,1829,5
1426,1742,8
821,1013,5
813,1912,9
844,1059,5
1214,1848,1
925,1359,4
1026,1039,7
809,957,2
1715,1841,6
927,1254,1
1022,1833,7
1736,1929,9
1047,1601,8
1339,1744,9
1038,1447,9
857,1813,4
1948,1952,1
1842,1951,2
1006,1027,8
845,1030,5
1717,1832,4
945,1828,5
1505,1617,3
801,1150,8
824,1216,7
1517,1834,1
1030,1631,2
1911,1929,3
1151,1942,4
1940,1952,8
1943,1946,2
1623,1706,6
952,1341,3
944,1432,5
1405,1444,4
1830,1912,2
1001,1610,1
926,1010,1
1819,1838,7
1102,1820,2
1703,1828,3
1814,1837,9
1935,1948,4
1033,1541,4
1839,1915,7
1356,1449,7
1237,1652,8
1917,1940,8
1231,1926,2
918,920,8
1032,1302,3
1327,1442,4
1439,1827,3
1609,1937,5
908,1103,2
1751,1940,3
1245,1359,6
932,1502,1
1010,1316,2
1434,1734,9
1326,1739,4
1514,1920,5
1950,1956,4
1816,1957,3
1851,1933,1
1021,1432,7
1432,1806,5
1722,1929,6
1711,1927,2
1624,1840,4
1709,1807,4
1433,1515,6
1754,1925,7
1511,1940,2
1751,1847,4
1959,1959,8
1200,1505,8
802,1130,6
817,1428,4
1731,1932,6
1016,1208,4
901,1458,8
1409,1520,9
1301,1656,9
1027,1951,1
1511,1715,3
1135,1838,4
1149,1217,4
1021,1221,8
1952,1954,5
1426,1439,5
1952,1958,8
1420,1447,1
1958,1958,8
1918,1955,9
915,1723,8
1808,1959,4
1041,1111,2
1030,1644,6
1024,1144,4
1210,1249,8
812,1754,7
1506,1622,7
1106,1907,9
1023,1923,1
1955,1957,1
1601,1746,9
1345,1732,9
1900,1944,1
813,1306,8
953,1232,3
901,1958,1
832,1850,8
1057,1932,9
1044,1055,4
1445,1821,1
1936,1950,1
1727,1833,1
1745,1953,1
1313,1916,1
1152,1528,3
1040,1518,9
934,1828,4
1426,1530,9
1136,1501,3
1833,1840,4
1144,1504,8
1108,1227,1
1949,1956,9
1608,1728,7
1908,1949,1
1454,1808,2
1048,1143,8
1420,1951,2
1514,1653,8
1236,1331,9
946,1105,6
1411,1919,5
1343,1357,2
1205,1429,6
1046,2000,9
949,1055,1
1136,1641,3
811,1327,2
1112,1438,7
1853,1857,8
1206,1423,4
927,1910,1
1738,1749,1
1737,1940,9
846,935,6
1322,1409,1
1316,1320,5
1405,1629,7
1447,1903,8
1119,1641,9
1440,1742,2
1012,1151,7
1339,1707,1
1635,1700,3
1634,2000,5
1033,1057,3
1801,1942,7
1431,1835,4
1800,1951,5
838,1335,1
1045,1320,4
1938,1952,4
920,2000,1
935,1332,1
1140,1833,3
1937,1957,2
1024,1308,5
1633,1845,3
1823,1946,2
1655,1822,2
1538,1645,5
1347,1615,2
1408,1927,4
1521,1541,6
1939,1951,1
1204,1350,5
1825,1942,3
916,1152,3
1740,1947,5
939,954,2
1026,1542,1
1720,1742,7
1630,1654,5
1545,1825,4
1053,1555,8
1045,1154,4
1246,1741,2
1412,1712,4
931,1043,8
1103,1854,9
1224,1626,8
1222,1852,7
1532,1643,6
1006,1948,9
1619,1629,8
1412,1638,4
1450,1819,5
1834,1850,7
1531,1838,1
1644,1923,9
1321,1632,5
925,1628,6
1638,1833,3
1229,1958,3
1938,1939,3
1835,1957,5
858,1308,3
1956,2000,6
808,1046,5
947,1444,7
1424,1545,4
1743,1925,6
914,1302,2
1437,1833,5
1925,1930,3
1357,1755,8
1559,1843,7
1707,1906,1
951,1118,4
1104,1254,7
1446,1827,6
1124,1815,9
1336,1409,7
1324,1619,7
1818,1920,7
1137,1736,7
1607,1636,5
1245,1637,4
839,1757,5
1039,1840,5
1029,1407,2
1327,1817,8
832,1847,1
1429,1500,7
