start,end,weight
1541,1719,2
1425,1715,5
1110,1948,8
1811,1925,9
1637,1855,9
1958,1959,3
1855,1936,6
841,1449,5
1757,1817,4
1936,1937,1
1445,1629,1
1212,1621,1
901,1537,9
1903,1955,5
1546,1824,3
958,1027,1
1241,1350,2
1733,1856,1
1322,1730,6
1831,1942,3
1611,1702,2
1033,1235,5
1450,1606,7
1735,1820,4
1137,1152,8
1708,1924,9
1922,1924,8
1156,1503,2
1417,1932,1
1727,1949,9
1537,1621,4
1230,1907,7
1055,1301,2
1828,1849,4
1158,1813,4
1516,1729,3
1436,1759,3
1448,1517,9
1249,1843,3
1417,1900,1
1810,1842,1
1342,1548,6
1035,1953,2
1234,1843,3
1151,1458,6
1537,1958,8
1957,1959,5
1545,1642,6
1421,1643,3
954,1602,8
1822,1925,9
801,1905,2
1401,1611,6
927,1312,4
1312,1611,9
1153,1212,8
1305,1913,7
1405,1936,8
1153,1355,1
1953,1958,4
1526,1901,1
1417,1810,5
1030,1746,5
1939,1944,6
1402,1733,6
1054,1740,7
1407,1842,8
1340,1832,5
1437,1552,6
1916,1937,4
1442,1504,8
1641,1704,8
804,1739,1
1329,1715,4
1727,1935,7
850,859,6
1312,1612,4
1802,1906,8
1643,1912,3
1123,1604,3
922,1934,2
1812,1902,9
905,1642,3
1924,1950,9
1255,1511,3
1202,1308,7
1820,1820,8
1601,1745,6
1331,1817,4
1015,1431,7
1253,1909,7
1704,1935,3
1641,1845,1
1559,1920,5
1235,1725,5
1735,1902,8
1222,1845,2
1710,1840,2
858,1546,8
1555,1846,8
1645,1702,1
1223,1453,8
1525,1741,1
1934,1952,5
1301,1830,8
1400,1902,2
1809,1828,3
1228,1708,3
1903,1925,9
1809,1945,5
1927,1934,2
843,1608,2
925,1517,2
1918,1932,7
1247,1439,5
1157,1523,4
1435,1838,1
946,1245,8
1724,1939,6
920,1008,7
1941,1955,7
1746,1804,7
819,1713,3
1219,1919,5
1643,1717,1
1309,1404,3
1628,1852,5
1248,1600,3
1938,1949,7
1109,1414,1
1359,1715,7
1446,1610,3
1824,1910,4
1056,1428,3
803,1950,5
1413,1605,4
806,1359,9
927,1326,8
1100,1926,1
811,1643,6
1621,1952,1
1108,1640,9
1933,1954,3
1309,1634,2
1446,1605,3
1049,1447,7
841,1755,8
1646,1825,5
958,1540,7
1650,1915,9
1044,1623,9
848,1655,7
933,1246,4
1112,1437,6
1808,1944,7
1347,1854,1
1940,1954,8
1325,1430,3
1141,1853,5
1409,1801,6
1753,1931,5
1416,1913,9
1133,1214,5
1313,1821,5
928,1719,4
854,1646,9
1605,1736,8
1903,1932,5
1247,1306,7
1832,1900,3
1437,1438,9
1105,1616,5
1024,1057,3
916,1045,1
1807,1903,7
