start,end,weight
1351,1637,5
1435,1514,3
825,1142,5
1603,1835,8
1549,1734,5
1058,1551,4
1503,1827,3
941,1530,7
1801,1806,4
1412,1530,8
1222,1452,2
1358,1741,4
1026,1906,9
1150,1554,1
1212,1638,8
803,1431,1
1216,1711,2
1324,1414,4
1021,1254,4
1405,1643,3
1959,2000,1
1752,1955,1
1937,2000,9
856,1535,4
1205,1816,1
1313,1639,5
1851,1915,2
1819,1932,9
1650,1956,3
1846,1900,2
1712,1744,1
1926,1926,1
1801,1804,4
1417,1842,9
1100,1233,3
1610,1938,8
1135,1212,4
1242,1915,8
1131,1456,9
1334,1956,4
854,1254,6
1410,1414,7
1254,1851,2
1741,1919,3
1903,1941,4
1101,1655,7
1008,1841,5
1522,1854,7
1350,1649,3
1652,2000,3
830,1616,6
1139,1545,5
1351,1602,3
1544,1921,3
1908,1957,7
825,2000,1
1146,1618,1
1147,1907,3
831,1254,4
1343,1705,1
1524,1822,6
1118,1529,2
930,1104,3
1758,1808,9
1033,1320,6
1711,1845,5
1155,1728,6
1022,1104,8
1733,1759,7
1015,1145,7
1213,1258,1
1403,1551,2
1820,1908,9
1334,1426,3
1722,1938,6
1804,1922,7
1744,1744,8
1247,1556,6
910,1130,6
935,944,9
1004,1439,5
930,1649,8
1548,1958,8
1808,1811,5
1632,1931,4
1917,1937,3
1417,1714,3
814,1612,1
1824,1956,4
826,1449,2
1818,1920,5
1142,1737,9
1623,1902,5
908,1149,9
1213,1251,4
848,1936,5
808,1204,7
1822,1948,5
1439,1644,5
1500,1559,8
831,1315,7
1853,1922,6
1246,1324,9
1433,1816,2
1619,1743,3
1927,1949,9
1136,1939,9
1517,1713,4
1853,1920,1
1029,1416,6
1623,1648,9
1723,1844,3
1520,1859,9
1045,1719,7
1918,1949,5
833,1444,1
909,1928,3
1020,1347,2
1247,1937,8
1605,1744,5
1905,1918,9
1100,1433,3
1707,1835,7
821,1828,5
1937,1956,6
1809,1901,8
1250,1406,3
1650,1653,1
1711,1958,5
1420,1603,1
959,1632,9
1812,1951,1
1534,1707,2
1322,1824,7
1148,1352,5
1201,1645,4
923,1607,6
1645,1657,7
1701,1801,3
1341,1621,1
1914,1944,1
1814,1820,9
1139,1221,6
845,1653,6
1152,1638,8
1400,1508,5
808,1151,6
1634,1729,3
1245,1333,8
1607,1700,4
1338,1753,4
1728,1802,3
806,1043,6
1623,1842,4
812,1852,6
1736,1927,6
1714,1813,8
1155,1738,6
1738,1935,6
1632,1826,8
1417,1816,7
1621,1657,1
1206,1509,9
945,1528,2
1434,1827,8
1257,1623,1
1523,1735,2
1657,1931,6
1503,1513,5
932,1741,6
820,1454,9
1127,1220,4
1822,1852,2
1438,1452,4
1258,1951,5
1519,1603,6
1000,1024,9
1940,1944,1
928,1704,8
1316,1742,7
1259,1813,2
1856,1959,4
1808,1854,9
1832,1909,2
1855,1858,6
1325,1414,3
1106,1444,3
800,1149,9
1210,1453,1
1046,1607,2
905,1027,4
1918,1937,4
1917,1937,3
1335,1338,4
1205,1345,7
1803,1907,9
1415,1951,8
1650,1730,6
1306,1530,5
1654,1819,8
1442,1717,6
814,827,4
911,1410,8
1001,1916,1
1336,1949,8
1722,1928,1
905,1425,6
1530,1536,5
1850,1900,2
1003,1345,8
1006,1959,5
1659,1802,3
854,1804,6
1013,1811,4
1541,1648,2
1028,1403,5
1207,1803,7
1000,1410,4
1330,1716,5
1120,1428,4
1249,1623,4
1800,1932,5
1443,1955,9
1326,1736,4
1409,1556,6
831,1343,4
1633,1644,7
1919,1922,1
1247,1349,7
1905,1946,7
1248,1614,3
1950,1957,8
903,1048,5
805,1748,4
848,1052,2
1425,1444,3
1813,1843,7
1406,1459,8
1718,1844,7
1101,1922,8
1710,1910,3
1411,1442,7
1245,1422,7
1813,1827,2
1314,1800,5
1646,1928,1
1227,1606,8
1629,1709,9
1622,1902,4
1849,1942,2
902,942,4
1054,1318,5
837,1913,6
1437,1735,1
1121,1516,3
1751,1944,5
1058,1617,9
1013,1623,6
1904,1950,3
1504,1639,4
1703,1819,5
1040,1824,8
1734,1931,3
1841,1920,7
1602,1756,5
1356,1658,3
1436,1818,3
1900,1934,4
945,1452,6
1458,1540,1
1538,1541,1
1318,1800,1
1330,1603,2
1139,1848,8
1927,1950,7
938,1108,6
1411,1839,3
1611,1845,5
954,1659,3
1013,1823,7
1323,1444,8
1902,1902,9
1239,1359,4
1940,1951,3
1717,1827,6
1412,1527,7
938,1441,1
1800,1901,6
1449,1901,6
1900,1908,2
1509,1652,8
1928,1937,5
1448,1530,7
1837,1950,6
1610,1612,9
929,1327,2
1333,1550,4
925,1650,3
1021,1820,2
1112,1306,3
947,1414,6
1726,1945,4
823,1213,2
1225,1244,3
908,1832,3
1344,1655,5
1051,1903,1
1759,1845,9
1308,1601,8
1417,1443,2
1844,1943,6
1950,1955,7
1714,1929,5
1211,1932,7
1531,1849,1
1136,1140,7
1733,1854,4
1857,1909,8
840,1937,1
1600,1953,7
1811,1917,6
800,1220,3
1113,1318,5
1240,1532,4
1311,1811,5
1311,1618,8
1956,1958,8
837,1006,4
1552,1610,1
1026,1648,5
1552,1906,9
1827,1858,7
1704,1927,5
1846,1928,8
1823,1922,9
945,1232,5
845,1228,5
1541,1918,1
1115,1806,2
1551,1955,7
1931,1932,7
1210,1756,8
1536,1913,9
1132,1344,9
1529,1706,8
1617,1904,4
1559,1710,9
1104,1706,7
812,1514,3
1526,1536,5
1515,1842,3
1425,1939,6
1652,1913,7
949,1946,6
1721,1727,4
1715,1934,8
1313,1558,9
951,1558,2
1358,1547,3
1536,1752,2
809,845,1
1847,1944,5
1447,1751,3
1734,1828,7
1251,1350,7
1128,1827,6
1936,1957,4
1141,1848,1
1224,1807,1
1925,1932,4
1028,1114,2
1737,1959,4
1603,1748,4
1817,1942,7
1240,1946,3
927,1819,3
1844,1906,1
1326,1903,4
1255,1351,8
1355,1441,9
1359,1722,9
1648,1705,7
1826,1956,7
949,1443,1
1105,1613,4
1153,1951,6
1709,1822,6
1319,1743,3
1423,1855,2
1700,1848,7
1722,1904,6
1128,1509,5
901,1252,2
1541,1709,1
1041,1156,3
1710,1742,7
809,1219,8
1040,1343,1
1124,1946,4
909,1417,1
1030,1945,3
1531,1919,4
1257,1932,3
1648,1901,8
911,1539,5
1134,1201,4
1758,1758,5
1029,1821,1
1921,1935,6
1747,1912,7
1420,1838,1
1405,1622,6
924,1140,2
1915,1919,5
847,1024,2
1521,1614,3
1503,1926,9
1903,1934,7
1438,1648,7
1212,1614,4
1203,1651,7
914,1759,4
1254,1813,6
1252,1951,7
1327,1709,1
1733,1959,7
1945,1954,7
1542,1832,6
1232,1439,8
1813,1832,5
1006,1841,2
1856,1950,5
824,1243,2
1118,1355,5
1317,1912,8
1338,1917,7
1706,1749,2
1934,1946,3
1637,1742,6
1703,1703,9
1334,1557,8
1917,1932,6
1403,1447,8
1337,1405,8
1003,1159,4
1125,1413,9
1603,1844,5
1808,1826,9
1708,1754,1
1406,1447,2
1101,1702,1
928,1748,7
1059,1423,9
1205,1505,8
1628,1845,3
1234,1407,7
1302,1735,6
1557,1920,9
944,1543,8
1911,1917,6
1518,1618,2
1625,1644,2
1307,1952,7
1725,1821,2
1739,1939,6
842,1402,9
1101,1439,5
1712,1715,6
1326,1653,9
1124,1801,6
1036,1746,3
1332,1618,3
1323,1812,2
1008,1405,7
1802,1906,7
943,1350,2
1527,1818,4
1838,1844,7
1258,1821,3
1658,1813,6
1320,1748,5
1610,1829,6
1743,1914,1
1332,1449,4
1026,1624,9
1431,1516,2
1705,1715,4
1852,1952,4
1756,1852,9
1019,1536,4
1525,1945,1
1740,1954,3
1316,1944,4
906,1418,4
1622,1735,8
1530,1705,5
1450,1947,9
836,1742,3
1927,1935,5
1855,1918,6
845,1033,3
1113,1845,5
859,1144,6
1855,1956,6
1541,1826,7
1524,1622,9
902,1200,7
1517,1807,9
1536,1653,9
833,1325,9
1655,1737,3
1011,1925,9
1849,1952,6
1837,1951,9
820,1143,1
1952,1953,9
1612,1810,3
1754,1807,1
1745,1859,5
927,1335,6
1742,1909,8
1455,1525,7
1940,1956,5
1453,1848,6
1356,1540,6
1527,1701,5
1007,1030,4
1652,1955,8
1633,1831,9
829,1434,1
1504,1551,9
1618,1630,7
1909,1938,2
1759,1812,4
1621,1709,9
1315,1853,2
1617,1937,1
1436,1542,8
1213,1716,4
1322,1914,9
1757,1921,1
1305,1813,9
1841,1905,4
1940,1957,3
1825,1900,2
857,1436,9
951,1623,5
1713,1832,8
1136,1409,7
1933,1948,4
1853,1943,6
1501,1623,3
1711,1957,3
1728,1928,8
935,1454,4
1001,1932,4
1916,1941,2
1039,1750,4
1935,1947,4
929,1655,1
1708,1852,6
1250,1431,1
833,856,9
1352,1607,9
1017,1407,8
1142,1953,6
1126,1751,4
1530,1830,8
1215,1610,1
1811,1912,3
951,1542,1
1154,1522,8
1852,1914,4
1850,1855,1
1617,1813,5
1127,1133,3
1359,1533,5
1047,1202,1
1519,1959,6
1920,1957,6
1938,1946,8
1018,1758,4
1552,1817,9
1346,1703,8
1152,1843,4
1325,1545,4
1511,1835,9
1229,1233,2
1220,1459,3
1118,1332,2
1137,1736,1
1620,1858,4
1051,1512,7
1940,1951,1
1545,1805,2
1757,1830,7
1806,1823,4
807,1024,8
1925,1950,3
950,1452,8
1227,1814,1
1926,1959,1
941,1553,6
915,1941,1
837,1233,7
1527,1828,8
1223,1753,7
1008,1134,2
1619,1729,1
1625,1925,8
832,916,9
1923,1940,4
1841,1934,5
1915,1926,8
1239,1805,2
1200,1713,6
1110,1936,2
1636,1841,9
1853,1953,9
1745,1833,5
1759,1814,9
1056,1851,4
1016,1956,6
1756,1902,9
1213,1836,4
1150,1511,2
946,1513,4
1514,1909,8
1146,1723,4
1816,1914,1
1734,1941,1
1730,1921,9
944,1532,7
841,902,8
1833,1846,8
1704,1737,4
1321,1643,5
928,1214,3
1701,1733,8
1823,1908,3
1334,1636,5
905,1141,9
948,1634,9
1803,1952,3
1802,1940,8
901,1557,4
1554,1655,2
1540,1631,7
1823,1919,5
1416,1640,7
1420,1741,7
1831,1934,1
1533,1945,8
828,1841,6
1206,1647,1
1046,1143,8
1015,1100,6
1547,1611,2
1726,1802,8
1353,1554,6
1247,1544,7
1731,1956,4
1223,1955,8
1617,1908,8
1832,1933,6
1710,1801,4
1517,1520,1
1642,1728,1
1350,1702,7
811,832,4
1857,1948,6
1928,1938,8
800,908,8
834,1306,9
1442,1758,1
1134,1529,8
1808,1955,1
1755,1807,8
1928,1952,9
1955,1957,9
815,1359,5
1313,1403,2
1455,1557,4
1447,1904,3
1304,1348,7
817,1201,2
1119,1926,7
1735,1952,1
837,1007,4
1236,1307,7
902,1352,3
1631,1814,6
1915,1932,2
1734,1819,1
1052,1123,1
1044,1822,9
1348,1502,6
1131,1522,6
1625,1839,7
838,1040,1
1000,1940,2
1555,1803,3
1759,1849,8
1330,1747,2
1653,1854,1
1035,1151,8
1010,1040,8
1418,1944,2
1904,1934,1
1118,1850,6
1756,1958,8
1955,1955,8
1818,1822,1
1325,1821,9
1510,1613,9
1709,1718,5
1653,1936,3
1758,1826,1
1534,1540,3
1959,2000,7
1511,1803,3
1911,1925,5
1647,1845,4
1156,1527,5
1226,1628,9
1306,1742,1
1833,1843,3
1539,1607,5
1457,1907,4
1332,1622,8
1141,1915,6
1659,1754,2
1310,1902,1
1551,1829,5
1720,1815,9
1729,1744,7
1847,1850,3
1322,1906,4
1501,1733,3
801,900,8
1108,1930,5
1009,1743,4
1546,1848,9
1752,1804,3
931,1222,9
1754,1949,6
1559,1913,2
1429,1514,6
1438,1721,4
1308,1647,4
1203,1426,3
1407,1435,7
1127,1547,4
1111,1700,8
1558,1954,8
1956,2000,4
1513,1815,9
1044,1721,3
816,1612,5
1705,1733,6
1152,1935,4
1050,1859,5
1629,1930,5
1414,1804,7
1504,1639,2
950,1412,4
1516,1858,6
840,1324,1
1342,1402,2
1830,1923,5
1926,1943,4
1440,1816,8
1139,1755,5
1942,1955,5
1848,1954,2
1442,1738,7
940,1909,5
1526,1716,7
1636,1704,3
1633,1835,6
1152,1722,7
815,1019,6
1137,1600,9
1449,1507,2
1203,1612,8
1822,1944,1
1231,1448,2
1128,1934,2
1509,1849,4
1037,1713,5
1821,1927,2
1813,1908,9
1540,1708,4
1051,1745,9
1323,1333,1
1935,1943,5
1652,1908,3
1325,1810,1
1500,1942,1
1431,1747,1
1029,1534,9
930,1232,1
904,1223,8
1312,1337,1
1224,1526,4
1231,1503,6
1357,1610,8
1401,1813,7
926,1445,3
831,1727,9
1917,1932,6
1526,1750,3
1907,1919,9
1540,1644,9
1045,1251,4
919,1611,3
1218,1716,2
1215,1500,3
829,1125,1
1224,1855,8
931,1355,8
1554,1743,4
1142,1748,9
1306,1347,9
1753,1803,9
1913,1947,1
1026,1734,9
1924,1957,5
1040,1948,7
836,1434,5
1229,1738,5
1009,1015,5
1940,1953,9
1035,1605,9
1937,1956,3
1008,1203,6
1234,1919,4
1709,1959,4
1914,1958,7
959,1047,8
852,1934,5
1225,1426,7
1920,1933,6
1045,1909,1
1350,1539,5
947,1821,8
1839,1927,4
1656,1925,3
1340,1736,6
919,1521,5
1305,1749,8
916,1855,5
1139,1420,8
1503,1624,9
1724,1724,9
1951,1959,1
919,1027,4
1226,1343,5
1340,1439,4
1415,1600,7
1038,1512,6
1244,1408,7
1844,1921,5
1528,1635,4
1415,1740,3
1813,1952,4
1017,1730,3
1838,1948,4
1623,1623,3
931,936,7
1650,1808,6
822,1317,6
1640,1721,2
842,1848,2
1852,1923,3
1848,1849,6
1250,1441,3
1351,1930,3
1031,1156,9
1121,1730,8
1443,1747,6
1116,1803,7
1556,1722,8
1707,1740,3
1934,1959,8
1138,1653,9
1559,1930,4
1647,1859,2
1214,1918,7
1346,1712,2
1427,1526,6
1248,1313,3
921,1711,5
1706,1749,2
1349,1434,7
1100,1812,5
1809,1936,9
1332,1922,2
934,1333,6
1402,1924,8
851,1338,7
1932,1958,2
1613,1916,5
1255,1313,7
1653,1747,2
845,1719,5
1922,1927,7
927,1048,5
1124,1406,1
1254,1904,3
1007,1154,1
1824,1901,5
1743,1851,3
1821,1843,2
1935,1938,9
1532,1822,5
1349,1842,1
1933,1953,6
1309,1416,6
824,1925,1
1348,1425,7
1847,1900,3
1514,1951,2
1300,1333,1
1458,1622,4
840,1600,6
1141,1909,3
1400,1712,5
937,1817,9
1521,1607,2
1002,1905,2
1743,1804,6
1536,1801,5
1037,1227,1
803,1759,9
950,1559,4
1935,1948,1
1306,1528,6
842,1147,1
930,1955,4
1242,1554,9
1612,1911,5
1919,1943,6
1838,1944,2
1442,1539,5
1007,1558,8
901,1335,4
802,1634,6
805,1233,1
919,1245,8
1531,1835,2
1246,1851,9
1226,1824,3
1111,1506,7
1111,1224,1
1855,1907,2
1857,1929,7
1947,1950,4
1054,1545,7
1139,1835,3
816,1625,2
1127,1657,7
1014,1941,9
1244,1317,9
1217,1844,3
906,1501,6
1122,1145,5
1921,1951,3
1937,2000,4
1719,1809,9
857,919,5
1147,1238,4
1423,1826,8
1806,1942,7
929,935,8
1132,1557,9
1507,1543,3
1958,2000,5
1059,1535,1
1145,1509,6
1524,1624,6
1308,1837,6
1002,1317,6
823,1418,1
1513,1545,6
938,1721,7
1947,1949,9
1200,1717,9
932,1412,1
1434,1917,5
1906,1950,7
851,1033,2
1422,1959,4
1629,1735,1
1742,1847,6
957,1753,9
1513,1548,8
933,1636,3
1414,1638,9
804,1544,6
