start,end,weight
953,1207,4
1906,1934,1
1638,1644,3
1746,1948,2
1045,1930,8
942,1017,5
1822,1828,1
1439,1611,9
802,1215,7
1040,1848,4
1136,1201,5
1526,1728,2
1218,1854,5
1243,1447,9
1516,1632,6
1741,1751,7
1114,1616,9
1714,1743,8
939,1106,3
1041,1853,2
1512,1721,5
807,1603,3
1012,1056,5
1907,1928,2
951,1530,8
1707,1841,7
1154,1343,6
905,1430,6
1253,1939,1
928,1908,9
1219,1446,4
1458,1939,7
1716,1737,4
1121,1157,8
945,953,5
846,1743,1
1149,1216,3
1701,1848,2
1714,1947,5
1923,1959,3
856,1257,1
1458,1642,8
1852,1950,5
828,1210,3
1941,1954,1
932,1652,2
1037,1302,3
1155,1448,7
1750,1852,4
1523,1844,1
1039,1411,3
1744,1950,6
1232,2000,3
809,1900,8
1704,1709,8
1011,1057,3
1640,1804,2
1907,1918,1
1420,1651,4
1322,1658,6
1700,1815,4
1550,1822,5
1814,1826,3
1613,1654,7
1555,1943,3
1648,1948,9
827,1129,2
1937,1951,2
1048,1506,8
916,1912,5
1657,1954,3
1546,1720,5
1426,1539,8
1036,1623,3
1526,1928,2
1209,1445,3
1021,1143,8
1237,1356,9
1434,1838,5
1628,1740,9
1658,1947,2
1529,1621,8
914,940,3
1320,1725,7
1531,1733,6
819,1653,6
1856,1942,1
1721,1803,5
1234,1920,3
1148,1211,8
1322,1629,6
1937,1953,8
922,1811,3
1440,1618,6
1636,1709,5
1422,1646,1
1125,1809,4
1400,1851,4
1611,1745,7
954,959,4
1608,1742,9
1436,1544,4
1445,1958,8
1053,1306,6
1436,1922,3
1318,1437,8
826,1834,2
1026,1326,6
1902,1907,1
1154,1533,4
856,1441,4
1607,1858,7
1827,1925,9
1826,1953,3
1045,1855,2
850,1104,2
1157,1610,5
1847,1904,4
1839,1920,6
1120,1548,9
1141,1819,7
1952,1954,8
1026,1050,8
1225,1624,7
1459,1651,6
1825,1900,3
1244,1554,2
1545,1701,9
1732,1812,1
1437,1535,6
1639,1824,3
1605,1834,2
1453,1905,6
1838,1859,6
1622,1655,1
1352,1843,5
1738,1947,8
1250,1758,8
1724,1901,6
803,925,4
1631,1832,3
1358,1933,2
1412,1754,2
1033,1319,9
1006,1742,1
912,1415,4
1514,1928,6
1228,1801,4
1003,1915,5
1713,1718,2
1321,1336,4
1348,1819,8
1123,1326,9
1242,1609,9
1042,1221,9
1910,1942,7
1833,1909,7
940,1750,9
1741,1910,3
1630,1804,3
1656,1718,6
1855,1908,6
1723,1904,5
1147,1526,8
1817,1941,5
821,1610,5
1447,1816,6
1857,1922,8
1922,1949,3
953,1743,4
1125,1355,3
1850,1950,1
943,1452,5
1405,1842,5
1136,1627,3
925,1838,7
1919,1948,4
1157,1314,2
1332,1408,6
1235,1519,3
1251,1624,5
818,1537,9
1923,1926,7
1557,1917,6
1521,1736,6
1857,1900,5
1146,1745,3
1603,1828,9
913,1802,3
1822,1901,3
1310,1817,4
1831,1934,4
838,1627,8
826,1342,5
1345,1947,8
1242,1728,7
1059,1304,7
1200,1447,9
1923,1941,3
1942,2000,4
1607,1926,2
1403,1851,5
1754,1939,4
1115,1736,8
1122,1954,6
1315,1803,9
1509,1551,9
1058,1649,1
1335,1629,5
1916,1954,8
1103,1413,3
915,1423,4
1448,1629,7
1857,1913,6
1709,1909,7
1718,1749,7
916,1629,3
1012,1543,3
1851,2000,2
1903,1917,2
1906,1954,6
1750,1816,8
1143,1441,2
858,1734,7
1208,1328,1
1856,1921,8
1029,1422,3
1930,1940,1
1805,1815,1
1500,1817,8
1915,1921,9
856,1654,3
1252,1608,7
1256,1921,8
1218,1406,6
1828,1947,9
1022,1032,6
1517,1619,3
908,1005,1
1235,1901,8
1918,1953,2
1455,1739,9
1627,1844,2
1103,1624,9
1547,1803,7
1618,1820,2
1340,1627,3
807,1554,8
947,1834,1
919,934,3
1102,1724,9
1349,1920,3
840,1755,2
1307,1934,7
1153,1316,9
1122,1619,6
1238,1734,8
1556,1916,8
1040,1902,1
1359,1928,1
1416,1702,3
1520,1911,4
1929,1932,9
1615,1940,4
903,1903,3
926,1632,3
917,1730,4
842,1747,6
1243,1945,7
1525,1540,1
1822,1859,8
1355,1717,3
1617,1750,5
1729,1734,8
1901,1938,4
1319,1758,2
1143,1733,2
823,930,1
1126,1451,6
1812,1855,9
1746,1756,8
1556,1849,6
1344,1615,3
1954,1959,4
927,1041,2
1732,1820,2
1037,1527,4
957,1017,7
1014,1453,1
1512,1742,7
810,1437,4
1149,1418,8
1827,1934,5
1851,1857,6
1904,1920,7
905,1927,9
841,1104,4
1410,1457,8
942,1923,4
812,1036,7
1302,1524,4
921,1234,4
1442,1523,9
1511,1910,5
1020,1741,1
1656,1943,4
1608,1808,5
1106,1106,7
1912,1943,2
1734,1837,2
1847,1903,7
1257,1733,2
1143,1444,3
1458,1556,8
942,1619,1
1947,1957,4
1004,1744,4
1147,1346,3
1903,1935,5
1558,1958,1
1947,1948,2
1738,1808,8
1648,1749,2
1638,1837,1
1723,1825,1
1112,1407,1
1526,1947,6
1606,1910,4
1459,1648,7
1541,1939,9
